line_id,invoice_id,line_no,description,quantity,unit_price,line_total,revenue_account
IL-1001-1,INV-1001,1,MI-400 Precision Caliper Set,40,250.00,10000.00,4000
IL-1001-2,INV-1001,2,Calibration certificate (per unit),40,50.00,2000.00,4000
IL-1002-1,INV-1002,1,MI-120 Laser Distance Meter,25,300.00,7500.00,4000
IL-1002-2,INV-1002,2,Protective carry case,25,40.00,1000.00,4000
IL-1003-1,INV-1003,1,Annual calibration service plan,1,4200.00,4200.00,4100
IL-1004-1,INV-1004,1,MI-700 Thermal Imaging Unit,6,1350.00,8100.00,4000
IL-1004-2,INV-1004,2,Freight and handling,1,600.00,600.00,4000
IL-1005-1,INV-1005,1,MI-220 Marine Depth Gauge,20,275.00,5500.00,4000
IL-1005-2,INV-1005,2,On-site installation day rate,1,500.00,500.00,4000
IL-1006-1,INV-1006,1,MI-400 replacement jaw kit,30,70.00,2100.00,4000
IL-1007-1,INV-1007,1,Data-logging software licence (annual),10,500.00,5000.00,4100
IL-1008-1,INV-1008,1,MI-120 Laser Distance Meter,25,300.00,7500.00,4000
IL-1008-2,INV-1008,2,Protective carry case,25,40.00,1000.00,4000
