ledger_entry_id,journal_id,entry_date,accounting_period,account,debit,credit,currency,description,invoice_id,payment_id,bank_transaction_id,customer_id,vendor_id
LE-9001,JE-8001,2026-08-03,2026-08,1100,12400.00,0.00,USD,AR - INV-1001,INV-1001,,,CUST-1001,
LE-9002,JE-8001,2026-08-03,2026-08,4000,0.00,12000.00,USD,Product revenue - INV-1001,INV-1001,,,CUST-1001,
LE-9003,JE-8001,2026-08-03,2026-08,2200,0.00,400.00,USD,Sales tax - INV-1001,INV-1001,,,CUST-1001,
LE-9004,JE-8002,2026-08-05,2026-08,1100,8750.00,0.00,USD,AR - INV-1002,INV-1002,,,CUST-1002,
LE-9005,JE-8002,2026-08-05,2026-08,4000,0.00,8500.00,USD,Product revenue - INV-1002,INV-1002,,,CUST-1002,
LE-9006,JE-8002,2026-08-05,2026-08,2200,0.00,250.00,USD,Sales tax - INV-1002,INV-1002,,,CUST-1002,
LE-9007,JE-8003,2026-08-07,2026-08,1100,4300.00,0.00,USD,AR - INV-1003,INV-1003,,,CUST-1003,
LE-9008,JE-8003,2026-08-07,2026-08,4100,0.00,4200.00,USD,Service revenue - INV-1003,INV-1003,,,CUST-1003,
LE-9009,JE-8003,2026-08-07,2026-08,2200,0.00,100.00,USD,Sales tax - INV-1003,INV-1003,,,CUST-1003,
LE-9010,JE-8004,2026-08-11,2026-08,1100,9450.00,0.00,USD,AR - INV-1004 (EUR 9000 at 1.0500),INV-1004,,,CUST-1004,
LE-9011,JE-8004,2026-08-11,2026-08,4000,0.00,9135.00,USD,Product revenue - INV-1004,INV-1004,,,CUST-1004,
LE-9012,JE-8004,2026-08-11,2026-08,2200,0.00,315.00,USD,Sales tax - INV-1004,INV-1004,,,CUST-1004,
LE-9013,JE-8005,2026-08-14,2026-08,1100,6200.00,0.00,USD,AR - INV-1005,INV-1005,,,CUST-1005,
LE-9014,JE-8005,2026-08-14,2026-08,4000,0.00,6000.00,USD,Product revenue - INV-1005,INV-1005,,,CUST-1005,
LE-9015,JE-8005,2026-08-14,2026-08,2200,0.00,200.00,USD,Sales tax - INV-1005,INV-1005,,,CUST-1005,
LE-9016,JE-8006,2026-08-18,2026-08,1100,2200.00,0.00,USD,AR - INV-1006,INV-1006,,,CUST-1001,
LE-9017,JE-8006,2026-08-18,2026-08,4000,0.00,2100.00,USD,Product revenue - INV-1006,INV-1006,,,CUST-1001,
LE-9018,JE-8006,2026-08-18,2026-08,2200,0.00,100.00,USD,Sales tax - INV-1006,INV-1006,,,CUST-1001,
LE-9019,JE-8007,2026-08-21,2026-08,1100,5150.00,0.00,USD,AR - INV-1007,INV-1007,,,CUST-1003,
LE-9020,JE-8007,2026-08-21,2026-08,4100,0.00,5000.00,USD,Service revenue - INV-1007,INV-1007,,,CUST-1003,
LE-9020B,JE-8007,2026-08-21,2026-08,2200,0.00,150.00,USD,Sales tax - INV-1007,INV-1007,,,CUST-1003,
LE-9021,JE-8501,2026-08-18,2026-08,1000,8750.00,0.00,USD,Cash receipt PAY-2005,INV-1002,PAY-2005,BT-5001,CUST-1002,
LE-9022,JE-8501,2026-08-18,2026-08,1100,0.00,8750.00,USD,AR settled - INV-1002,INV-1002,PAY-2005,BT-5001,CUST-1002,
LE-9023,JE-8502,2026-08-26,2026-08,1000,6200.00,0.00,USD,Cash receipt PAY-2011,INV-1005,PAY-2011,BT-5003,CUST-1005,
LE-9024,JE-8502,2026-08-26,2026-08,1100,0.00,6200.00,USD,AR settled - INV-1005,INV-1005,PAY-2011,BT-5003,CUST-1005,
LE-9025,JE-8503,2026-08-28,2026-08,1000,11900.00,0.00,USD,Cash receipt PAY-2001,INV-1001,PAY-2001,BT-5004,CUST-1001,
LE-9026,JE-8503,2026-08-28,2026-08,1100,0.00,11900.00,USD,AR part-settled - INV-1001,INV-1001,PAY-2001,BT-5004,CUST-1001,
LE-9027,JE-8504,2026-08-29,2026-08,1000,2200.00,0.00,USD,Cash receipt PAY-2010,INV-1003,PAY-2010,BT-5005,CUST-1001,
LE-9028,JE-8504,2026-08-29,2026-08,1100,0.00,2200.00,USD,AR credited on INV-1003 (wrong invoice),INV-1003,PAY-2010,BT-5005,CUST-1001,
LE-9029,JE-8505,2026-08-31,2026-08,1000,4300.00,0.00,USD,Cash receipt PAY-2008,INV-1003,PAY-2008,BT-5006,CUST-1003,
LE-9030,JE-8505,2026-08-31,2026-08,1100,0.00,4300.00,USD,AR settled - INV-1003,INV-1003,PAY-2008,BT-5006,CUST-1003,
LE-9031,JE-8506,2026-08-27,2026-08,1010,9819.00,0.00,USD,Cash receipt PAY-2009 (EUR 9000 at 1.0910),INV-1004,PAY-2009,BT-6001,CUST-1004,
LE-9032,JE-8506,2026-08-27,2026-08,1100,0.00,9450.00,USD,AR settled - INV-1004,INV-1004,PAY-2009,BT-6001,CUST-1004,
LE-9032B,JE-8506,2026-08-27,2026-08,6900,0.00,369.00,USD,FX gain on EUR receipt,INV-1004,PAY-2009,BT-6001,CUST-1004,
LE-9033,JE-8507,2026-08-12,2026-08,6100,3040.00,0.00,USD,Freight EXP-7002 (keyed as 3040.00),,,BT-5008,,VEND-2002
LE-9034,JE-8507,2026-08-12,2026-08,2000,0.00,3040.00,USD,AP - Northline Freight,,,BT-5008,,VEND-2002
LE-9035,JE-9007,2026-08-31,2026-08,1900,14000.00,0.00,USD,Unauthorized AR to Suspense adjustment,,,,,
LE-9036,JE-9007,2026-08-31,2026-08,1100,0.00,14000.00,USD,Unauthorized AR to Suspense adjustment,,,,,
